2025-02-21 16:19:26 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:26 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:26 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:26 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:26 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:26 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:26 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:26 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:26 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:26 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:26 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:30 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:30 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:30 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:48 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:48 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:48 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:48 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:48 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:48 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:48 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:48 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:19:51 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:20:08 | ERROR | CWReceiver: No internet connection.
2025-02-21 16:23:55 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=29851 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f573491b890>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:23:55 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=33682 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f573491ae90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-21 16:23:55 | ERROR | CWReceiver: No internet connection. HTTPSConnectionPool(host='ks.innov.cleanwatts.energy', port=443): Max retries exceeded with url: /api/2.0/data/lastvalue/Instant?from=2003-06-11&tags=29498 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5734918910>: Failed to establish a new connection: [Errno 111] Connection refused'))
