month,day_type,hour,daylight_savings_status,non_shiftable_load,solar_generation
9,4,0,True,306.0,3048.0
9,4,1,True,294.0,2964.0
9,4,2,True,294.0,2861.0
9,4,3,True,308.0,2723.0
9,4,4,True,323.0,2599.0
9,4,5,True,309.0,3173.0
9,4,6,True,313.0,2773.0
9,4,7,True,271.0,3173.0
9,4,8,True,291.0,2904.0
9,4,9,True,273.0,3346.0
9,4,10,True,308.0,3019.0
9,4,11,True,304.0,2862.0
9,4,12,True,288.0,2855.0
9,4,13,True,334.0,3077.0
9,4,14,True,258.0,3094.0
9,4,15,True,246.0,2748.0
9,4,16,True,328.0,2909.0
9,4,17,True,328.0,3099.0
9,4,18,True,328.0,2729.0
9,4,19,True,346.0,3084.0
9,4,20,True,295.0,3449.0
9,4,21,True,291.0,3097.0
9,4,22,True,285.0,2799.0
9,4,23,True,313.0,2969.0
9,5,0,True,288.0,2611.0
9,5,1,True,323.0,3216.0
9,5,2,True,268.0,3478.0
9,5,3,True,299.0,2800.0
9,5,4,True,286.0,3109.0
9,5,5,True,296.0,3080.0
9,5,6,True,279.0,3243.0
9,5,7,True,356.0,2975.0
9,5,8,True,311.0,2966.0
9,5,9,True,335.0,2981.0
9,5,10,True,297.0,2935.0
9,5,11,True,279.0,2743.0
9,5,12,True,299.0,3185.0
9,5,13,True,239.0,2896.0
9,5,14,True,308.0,3210.0
9,5,15,True,301.0,3159.0
9,5,16,True,316.0,2772.0
9,5,17,True,288.0,2985.0
9,5,18,True,317.0,3416.0
9,5,19,True,267.0,2860.0
9,5,20,True,322.0,2866.0
9,5,21,True,326.0,2741.0
9,5,22,True,306.0,2646.0
9,5,23,True,269.0,2800.0
9,6,0,True,298.0,3161.0
9,6,1,True,299.0,2870.0
9,6,2,True,305.0,3348.0
9,6,3,True,350.0,2836.0
9,6,4,True,294.0,3008.0
9,6,5,True,303.0,3236.0
9,6,6,True,291.0,2736.0
9,6,7,True,324.0,3121.0
9,6,8,True,296.0,3100.0
9,6,9,True,270.0,2670.0
9,6,10,True,305.0,2848.0
9,6,11,True,306.0,3073.0
9,6,12,True,273.0,3042.0
9,6,13,True,303.0,3270.0
9,6,14,True,281.0,2759.0
9,6,15,True,265.0,3302.0
9,6,16,True,299.0,3045.0
9,6,17,True,343.0,2639.0
9,6,18,True,296.0,3073.0
9,6,19,True,329.0,2936.0
9,6,20,True,350.0,2939.0
9,6,21,True,293.0,2953.0
9,6,22,True,304.0,2817.0
9,6,23,True,317.0,3059.0
9,0,0,True,302.0,3051.0
9,0,1,True,301.0,2924.0
9,0,2,True,314.0,3343.0
9,0,3,True,297.0,2824.0
9,0,4,True,322.0,2992.0
9,0,5,True,298.0,3313.0
9,0,6,True,350.0,3146.0
9,0,7,True,273.0,2852.0
9,0,8,True,291.0,3053.0
9,0,9,True,231.0,3183.0
9,0,10,True,279.0,3257.0
9,0,11,True,325.0,3035.0
9,0,12,True,296.0,3060.0
9,0,13,True,279.0,2958.0
9,0,14,True,301.0,3069.0
9,0,15,True,315.0,2912.0
9,0,16,True,273.0,2993.0
9,0,17,True,306.0,2864.0
9,0,18,True,294.0,3337.0
9,0,19,True,311.0,3071.0
9,0,20,True,326.0,2833.0
9,0,21,True,311.0,3362.0
9,0,22,True,330.0,2867.0
9,0,23,True,314.0,2953.0
9,1,0,True,304.0,3145.0
9,1,1,True,314.0,3137.0
9,1,2,True,306.0,3036.0
9,1,3,True,289.0,2735.0
9,1,4,True,233.0,3389.0
9,1,5,True,305.0,3138.0
9,1,6,True,262.0,2960.0
9,1,7,True,332.0,2439.0
9,1,8,True,286.0,3115.0
9,1,9,True,303.0,3141.0
9,1,10,True,278.0,2520.0
9,1,11,True,325.0,3161.0
9,1,12,True,287.0,3234.0
9,1,13,True,269.0,3296.0
9,1,14,True,291.0,2909.0
9,1,15,True,281.0,3205.0
9,1,16,True,317.0,2996.0
9,1,17,True,300.0,2642.0
9,1,18,True,295.0,2965.0
9,1,19,True,313.0,3169.0
9,1,20,True,313.0,3048.0
9,1,21,True,333.0,3022.0
9,1,22,True,316.0,2998.0
9,1,23,True,268.0,3133.0
9,2,0,True,338.0,2809.0
9,2,1,True,288.0,2652.0
9,2,2,True,332.0,2896.0
9,2,3,True,281.0,2854.0
9,2,4,True,284.0,3065.0
9,2,5,True,292.0,2745.0
9,2,6,True,333.0,2876.0
9,2,7,True,289.0,2875.0
9,2,8,True,330.0,2916.0
9,2,9,True,276.0,2724.0
9,2,10,True,280.0,3181.0
9,2,11,True,291.0,3118.0
9,2,12,True,319.0,3027.0
9,2,13,True,301.0,2880.0
9,2,14,True,277.0,2984.0
9,2,15,True,280.0,3134.0
9,2,16,True,298.0,3204.0
9,2,17,True,283.0,3306.0
9,2,18,True,315.0,3129.0
9,2,19,True,361.0,3053.0
9,2,20,True,320.0,3079.0
9,2,21,True,316.0,3072.0
9,2,22,True,297.0,3301.0
9,2,23,True,300.0,2855.0
9,3,0,True,292.0,3021.0
9,3,1,True,263.0,3498.0
9,3,2,True,284.0,2932.0
9,3,3,True,293.0,3245.0
9,3,4,True,299.0,3058.0
9,3,5,True,321.0,3196.0
9,3,6,True,333.0,2772.0
9,3,7,True,284.0,3234.0
9,3,8,True,254.0,2975.0
9,3,9,True,300.0,2699.0
9,3,10,True,293.0,3335.0
9,3,11,True,284.0,2875.0
9,3,12,True,340.0,2881.0
9,3,13,True,268.0,2769.0
9,3,14,True,312.0,3147.0
9,3,15,True,286.0,3372.0
9,3,16,True,254.0,3202.0
9,3,17,True,283.0,2826.0
9,3,18,True,269.0,2421.0
9,3,19,True,312.0,2619.0
9,3,20,True,307.0,2867.0
9,3,21,True,283.0,3467.0
9,3,22,True,308.0,3060.0
9,3,23,True,302.0,3100.0
9,4,0,True,301.0,2933.0
9,4,1,True,342.0,3084.0
9,4,2,True,259.0,3032.0
9,4,3,True,344.0,3150.0
