month,day_type,hour,daylight_savings_status,non_shiftable_load,solar_generation
9,4,0,True,0.1761,0
9,4,1,True,0.175,0
9,4,2,True,0.14780000000000001,0
9,4,3,True,0.024999999999999998,0
9,4,4,True,0.0248,0
9,4,5,True,0.2232,0
9,4,6,True,0.2025,0
9,4,7,True,0.1749,0
9,4,8,True,0.10690000000000001,0
9,4,9,True,0.0692,0
9,4,10,True,0.1976,0
9,4,11,True,0.2004,0
9,4,12,True,0.2284,0
9,4,13,True,0.0702,0
9,4,14,True,0.1181,0
9,4,15,True,0.48310000000000003,0
9,4,16,True,0.3529,0
9,4,17,True,0.256,0
9,4,18,True,0.0253,0
9,4,19,True,0.0599,0
9,4,20,True,0.1813,0
9,4,21,True,0.1768,0
9,4,22,True,0.1756,0
9,4,23,True,0.07730000000000001,0
9,5,0,True,0.0246,0
9,5,1,True,0.1029,0
9,5,2,True,0.1797,0
9,5,3,True,0.1762,0
9,5,4,True,0.0818,0
9,5,5,True,0.0247,0
9,5,6,True,0.1075,0
9,5,7,True,0.1783,0
9,5,8,True,0.1744,0
9,5,9,True,0.1063,0
9,5,10,True,0.0246,0
9,5,11,True,0.0686,0
9,5,12,True,0.1795,0
9,5,13,True,0.1736,0
9,5,14,True,0.1734,0
9,5,15,True,0.0313,0
9,5,16,True,0.0277,0
9,5,17,True,0.1472,0
9,5,18,True,0.1752,0
9,5,19,True,0.1744,0
9,5,20,True,0.0852,0
9,5,21,True,0.0246,0
9,5,22,True,0.0808,0
9,5,23,True,0.1787,0
9,6,0,True,0.1748,0
9,6,1,True,0.1009,0
9,6,2,True,0.0248,0
9,6,3,True,0.0687,0
9,6,4,True,0.183,0
9,6,5,True,0.1747,0
9,6,6,True,0.1107,0
9,6,7,True,0.0247,0
9,6,8,True,0.0566,0
9,6,9,True,0.1795,0
9,6,10,True,0.1718,0
9,6,11,True,0.0994,0
9,6,12,True,0.0254,0
9,6,13,True,0.07339999999999999,0
9,6,14,True,0.1782,0
9,6,15,True,0.1626,0
9,6,16,True,0.0269,0
9,6,17,True,0.079,0
