month,day_type,hour,daylight_savings_status,non_shiftable_load,solar_generation
9,4,0,True,-2512.0,3260.0
9,4,1,True,-2543.0,2649.0
9,4,2,True,-2565.0,3042.0
9,4,3,True,-2451.0,3271.0
9,4,4,True,-2881.0,2986.0
9,4,5,True,-2770.0,2868.0
9,4,6,True,-3000.0,2964.0
9,4,7,True,-2907.0,3015.0
9,4,8,True,-2871.0,3035.0
9,4,9,True,-2899.0,3403.0
9,4,10,True,-2793.0,3013.0
9,4,11,True,-2544.0,3230.0
9,4,12,True,-2657.0,2769.0
9,4,13,True,-2607.0,3034.0
9,4,14,True,-2499.0,2770.0
9,4,15,True,-2757.0,3240.0
9,4,16,True,-2690.0,2695.0
9,4,17,True,-2535.0,2837.0
9,4,18,True,-2799.0,2968.0
9,4,19,True,-2497.0,2933.0
9,4,20,True,-2381.0,2798.0
9,4,21,True,-2432.0,3049.0
9,4,22,True,-2701.0,3070.0
9,4,23,True,-2364.0,3125.0
9,5,0,True,-2505.0,3151.0
9,5,1,True,-2670.0,3163.0
9,5,2,True,-2589.0,2641.0
9,5,3,True,-2604.0,2777.0
9,5,4,True,-2608.0,3186.0
9,5,5,True,-2648.0,3151.0
9,5,6,True,-2690.0,3089.0
9,5,7,True,-2329.0,2967.0
9,5,8,True,-2585.0,2676.0
9,5,9,True,-2206.0,3236.0
9,5,10,True,-2805.0,3114.0
9,5,11,True,-2558.0,3299.0
9,5,12,True,-2847.0,3277.0
9,5,13,True,-2719.0,2943.0
9,5,14,True,-3127.0,3123.0
9,5,15,True,-3084.0,2992.0
9,5,16,True,-2588.0,3048.0
9,5,17,True,-2794.0,2919.0
9,5,18,True,-2724.0,2846.0
9,5,19,True,-2542.0,3033.0
9,5,20,True,-2620.0,3243.0
9,5,21,True,-2711.0,3458.0
9,5,22,True,-2466.0,2942.0
9,5,23,True,-3125.0,3003.0
9,6,0,True,-2500.0,2552.0
9,6,1,True,-2908.0,2595.0
9,6,2,True,-2551.0,3112.0
9,6,3,True,-2595.0,2736.0
9,6,4,True,-2719.0,2631.0
9,6,5,True,-2332.0,3059.0
9,6,6,True,-2910.0,3202.0
9,6,7,True,-2590.0,2544.0
9,6,8,True,-2470.0,2915.0
9,6,9,True,-2749.0,3001.0
9,6,10,True,-2444.0,3050.0
9,6,11,True,-3272.0,3242.0
9,6,12,True,-2136.0,2824.0
9,6,13,True,-2319.0,3107.0
9,6,14,True,-2723.0,3223.0
9,6,15,True,-2587.0,2924.0
9,6,16,True,-2800.0,2939.0
