electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.103,0.125,0.099,0.114
0.103,0.124,0.094,0.1
0.103,0.124,0.096,0.1
0.104,0.122,0.108,0.092
0.122,0.121,0.118,0.1
0.126,0.109,0.124,0.1
0.125,0.099,0.13,0.103
0.124,0.094,0.13,0.099
0.124,0.096,0.124,0.085
0.122,0.108,0.123,0.08
0.121,0.118,0.12,0.076
0.109,0.124,0.118,0.076
0.099,0.13,0.114,0.073
0.094,0.13,0.1,0.074
0.096,0.124,0.1,0.076
0.108,0.123,0.092,0.081
0.118,0.12,0.1,0.103
0.124,0.118,0.1,0.118
0.13,0.114,0.103,0.121
0.13,0.1,0.099,0.122
0.124,0.1,0.085,0.119
0.123,0.092,0.08,0.115
0.12,0.1,0.076,0.113
0.118,0.1,0.076,0.105
0.114,0.103,0.073,0.087
0.1,0.099,0.074,0.079
0.1,0.085,0.076,0.077
0.092,0.08,0.081,0.077
0.1,0.076,0.103,0.079
0.1,0.076,0.118,0.079
0.103,0.073,0.121,0.078
0.099,0.074,0.122,0.07
0.085,0.076,0.119,0.05
0.08,0.081,0.115,0.02
0.076,0.103,0.113,0.005
0.076,0.118,0.105,0.004
0.073,0.121,0.087,0.004
0.074,0.122,0.079,0.004
0.076,0.119,0.077,0.004
0.081,0.115,0.077,0.004
0.103,0.113,0.079,0.046
0.118,0.105,0.079,0.09
0.121,0.087,0.078,0.122
0.122,0.079,0.07,0.118
0.119,0.077,0.05,0.11
0.115,0.077,0.02,0.099
0.113,0.079,0.005,0.085
0.105,0.079,0.004,0.082
0.087,0.078,0.004,0.081
0.079,0.07,0.004,0.08
0.077,0.05,0.004,0.081
0.077,0.02,0.004,0.083
0.079,0.005,0.046,0.106
0.079,0.004,0.09,0.125
0.078,0.004,0.122,0.129
0.07,0.004,0.118,0.125
0.05,0.004,0.11,0.109
0.02,0.004,0.099,0.09
0.005,0.046,0.085,0.088
0.004,0.09,0.082,0.086
0.004,0.122,0.081,0.085
0.004,0.118,0.08,0.085
0.004,0.11,0.081,0.086
0.004,0.099,0.083,0.106
0.046,0.085,0.106,0.123
0.09,0.082,0.125,0.129
0.122,0.081,0.129,0.149
0.118,0.08,0.125,0.164
0.11,0.081,0.109,0.129
0.099,0.083,0.09,0.125
0.085,0.106,0.088,0.129
0.082,0.125,0.086,0.123
0.081,0.129,0.085,0.114
0.08,0.125,0.085,0.109
0.081,0.109,0.086,0.104
0.083,0.09,0.106,0.106
0.106,0.088,0.123,0.122
0.125,0.086,0.129,0.129
0.129,0.085,0.149,0.129
0.125,0.085,0.164,0.114
0.109,0.086,0.129,0.093
0.09,0.106,0.125,0.09
0.088,0.123,0.129,0.089
0.086,0.129,0.123,0.089
0.085,0.149,0.114,0.086
0.085,0.164,0.109,0.085
0.086,0.129,0.104,0.086
0.106,0.125,0.106,0.089
0.123,0.129,0.122,0.099
0.129,0.123,0.129,0.12
0.149,0.114,0.129,0.14
0.164,0.109,0.114,0.143
0.129,0.104,0.093,0.129
0.125,0.106,0.09,0.114
0.129,0.122,0.089,0.11
0.123,0.129,0.089,0.098
0.114,0.129,0.086,0.109
0.109,0.114,0.085,0.103
0.104,0.093,0.086,0.101
0.106,0.09,0.089,0.101
0.122,0.089,0.099,0.11
0.129,0.089,0.12,0.115
0.129,0.086,0.14,0.116
0.114,0.085,0.143,0.114
0.093,0.086,0.129,0.103
0.09,0.089,0.114,0.082
0.089,0.099,0.11,0.081
0.089,0.12,0.098,0.076
0.086,0.14,0.109,0.063
0.085,0.143,0.103,0.04
0.086,0.129,0.101,0.04
0.089,0.114,0.101,0.06
0.099,0.11,0.11,0.081
0.12,0.098,0.115,0.112
0.14,0.109,0.116,0.115
0.143,0.103,0.114,0.114
0.129,0.101,0.103,0.11
0.114,0.101,0.082,0.089
0.11,0.11,0.081,0.078
0.098,0.115,0.076,0.076
0.109,0.116,0.063,0.073
0.103,0.114,0.04,0.072
0.101,0.103,0.04,0.07
0.101,0.082,0.06,0.071
0.11,0.081,0.081,0.077
0.115,0.076,0.112,0.11
0.116,0.063,0.115,0.115
0.114,0.04,0.114,0.106
0.103,0.04,0.11,0.102
0.082,0.06,0.089,0.092
0.081,0.081,0.078,0.088
0.076,0.112,0.076,0.082
0.063,0.115,0.073,0.077
0.04,0.114,0.072,0.077
0.04,0.11,0.07,0.077
0.06,0.089,0.071,0.089
0.081,0.078,0.077,0.102
0.112,0.076,0.11,0.119
0.115,0.073,0.115,0.121
0.114,0.072,0.106,0.119
0.11,0.07,0.102,0.108
0.089,0.071,0.092,0.1
0.078,0.077,0.088,0.103
0.076,0.11,0.082,0.094
0.073,0.115,0.077,0.094
0.072,0.106,0.077,0.092
0.07,0.102,0.077,0.09
0.071,0.092,0.089,0.102
0.077,0.088,0.102,0.111
0.11,0.082,0.119,0.121
0.115,0.077,0.121,0.125
0.106,0.077,0.119,0.118
0.102,0.077,0.108,0.099
0.092,0.089,0.1,0.09
0.088,0.102,0.103,0.085
0.082,0.119,0.094,0.077
0.077,0.121,0.094,0.07
0.077,0.119,0.092,0.071
0.077,0.108,0.09,0.076
0.089,0.1,0.102,0.078
0.102,0.103,0.111,0.105
0.119,0.094,0.121,0.121
0.121,0.094,0.125,0.133
0.119,0.092,0.118,0.13
0.108,0.09,0.099,0.122
